enrollment_no,subject_id,semester,attendance_percentage
23CE30079,EC302,6,87
22CE30574,IT401,7,61
25EE30189,MA101,1,75
22EE30411,ME401,7,84
23EE30531,CE301,5,63
25EC30523,CI102,2,49
22SH30437,IT402,8,84
24CE30117,EC202,4,51
23SH30532,CE302,6,79
23EE30313,CE301,5,78
25ME30489,CI102,2,84
23SH30581,ME301,5,87
23SH30102,CE301,5,47
22EE30566,CS401,7,60
22CIVIL30531,IT402,8,63
23CE30079,IT302,6,71
24EC30541,ME202,4,94
24EC30299,IT202,4,57
22EE30411,EE401,7,42
22EC30091,EE401,7,44
25CIVIL30318,CY101,1,76
25MBA30114,EE101,1,53
25IT30026,MA101,1,95
25EC30396,CS102,2,89
24EE30304,CS202,4,83
22ME30060,EC402,8,68
24EC30379,EE201,3,60
24CE30173,CE202,4,55
24EE30175,IT201,3,60
25IT30026,EE101,1,56
25CIVIL30519,PH101,1,98
24SH30342,EE201,3,57
24SH30564,CS201,3,79
24SH30477,MA201,3,94
25EC30575,MA101,1,76
22IT30323,IT401,7,87
23EC30235,CE301,5,40
22SH30054,EE401,7,65
22CE30353,CE402,8,71
24CIVIL30083,EC202,4,97
24EE30157,CS202,4,73
25SH30007,CI102,2,54
24EE30175,EE201,3,59
22EE30566,EE401,7,96
25CE30210,CS102,2,71
25EC30417,CS102,2,64
24MBA30402,CE202,4,90
23SH30102,ME301,5,72
25MCA30353,CS102,2,52
22SH30418,EC402,8,72
23EC30437,EC302,6,73
25ME30146,HU101,1,62
22EC30017,CE401,7,81
23ME30391,ME302,6,55
25IT30467,EE101,1,75
22CE30296,EC402,8,77
24CIVIL30485,MA201,3,58
23ME30391,CS302,6,43
24CIVIL30079,EE201,3,87
25SH30462,PH101,1,46
24EE30318,EC202,4,46
25ME30337,CI102,2,77
25MCA30530,ME102,2,59
25CE30323,HU101,1,98
22CE30574,CE401,7,93
22ME30413,CS402,8,80
24EE30260,IT201,3,53
25ME30481,EE101,1,64
23IT30593,EE301,5,42
24EC30506,EE201,3,70
25EC30417,HU102,2,100
24EE30572,IT202,4,72
24EE30240,IT202,4,64
23EE30547,CE302,6,94
25SH30489,MA102,2,48
22SH30562,ME401,7,90
25EE30003,MA102,2,86
24ME30036,CS202,4,97
25CE30348,HU102,2,52
22SH30054,IT401,7,40
23EC30235,EE301,5,82
25CE30400,EE101,1,72
24MBA30470,EE201,3,79
25EC30375,CS102,2,61
25EC30043,HU101,1,70
25IT30026,PH101,1,84
25SH30101,HU101,1,50
25MCA30198,EE101,1,56
23ME30214,CE302,6,84
24EC30467,ME202,4,52
24ME30006,IT201,3,42
24CE30477,MA201,3,99
24ME30502,EC202,4,57
22IT30323,ME401,7,43
25EC30417,ME102,2,89
25IT30448,HU101,1,85
22CE30026,CE402,8,55
23ME30214,CS302,6,74
24CIVIL30079,MA201,3,40
25IT30391,MA102,2,71
25SH30421,MA101,1,80
23EC30113,EE301,5,83
25MCA30530,CS102,2,49
25EE30541,ME102,2,52
25IT30391,CI102,2,79
24CE30173,IT202,4,92
24IT30443,EE201,3,56
23ME30141,EE301,5,44
